Date,Game,Team,Side,Market,ML,Book,Model_Prob,Market_Prob,Edge_Pct,Model_Line,Market_Line,SP_Score,LU_Score,Park_Factor,Ump_K,Result,F5_Score,Taken,logged_at,Model_Prob_Cal,Edge_Cal,Closing_ML,Closing_Line,CLV_Pct
04/19/2026,Detroit Tigers @ Boston Red Sox,Detroit Tigers/Boston Red Sox,Over 3.5,F5 Total,-105.0,Caesars,66.8,51.2,15.6,4.5,3.5,50.0,50.0,1.0,0.0,WIN,5-1,False,unknown,,,,,
04/19/2026,Detroit Tigers @ Boston Red Sox,Detroit Tigers,Detroit Tigers Over 1.5,F5 Team Total,-105.0,TheScore,66.1,51.2,14.9,2.25,1.5,50.0,,1.0,0.0,WIN,5-1,False,unknown,,,,,
04/19/2026,Detroit Tigers @ Boston Red Sox,Boston Red Sox,Boston Red Sox Over 1.5,F5 Team Total,-145.0,TheScore,66.1,59.2,7.0,2.25,1.5,50.0,,1.0,0.0,LOSS,5-1,False,unknown,,,,,
04/19/2026,Detroit Tigers @ Boston Red Sox,Boston Red Sox,Home -0.5,F5 Spread,105.0,Caesars,61.3,48.8,12.5,-0.25,-0.5,50.0,,1.0,0.0,LOSS,5-1,False,unknown,,,,,
04/19/2026,Kansas City Royals @ New York Yankees,New York Yankees,Home -0.5,F5 Spread,100.0,BetMGM,61.8,50.0,11.8,-0.28,-0.5,54.1,23.1,0.94,0.02,WIN,0-7,False,unknown,,,,,
04/19/2026,Kansas City Royals @ New York Yankees,Kansas City Royals,Kansas City Royals Over 1.5,F5 Team Total,-115.0,DraftKings,61.2,53.5,7.7,2.01,1.5,50.0,23.4,0.94,0.02,LOSS,0-7,False,unknown,,,,,
04/19/2026,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers/Colorado Rockies,Under 6.2,F5 Total,100.0,Caesars,77.0,50.0,27.0,4.5,6.2,50.0,50.0,1.0,0.0,WIN,3-3,False,unknown,,,,,
04/19/2026,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Los Angeles Dodgers Under 3.5,F5 Team Total,100.0,TheScore,75.6,50.0,25.6,2.25,3.5,50.0,,1.0,0.0,WIN,3-3,False,unknown,,,,,
04/19/2026,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Away -1.2,F5 Spread,108.0,FanDuel,73.3,48.1,25.2,0.45,-1.1666666666666667,50.0,,1.0,0.0,LOSS,3-3,False,unknown,,,,,
04/19/2026,Los Angeles Dodgers @ Colorado Rockies,Los Angeles Dodgers,Away,F5 ML,-215.0,FanDuel,67.0,68.3,-1.3,,,50.0,,1.0,0.0,PUSH,3-3,False,unknown,,,,,
